oracle_campaign,opposition_level
US cage-free corporate campaign (2015-2016),Moderate
Better Chicken Commitment Europe (2017–2026),High
SeaWorld/Anti-captivity post-Blackfish (2013-2016),High
Mexico constitutional animal protection reform (2021-2024),Low
Sinergia Animal Global South cage-free corporate campaign (2018–present),Low
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),Moderate
New Zealand live export ban (2019–2026),Moderate
UK foie gras import ban campaign (2021–present),Moderate
Australian marriage equality postal survey (2017),High
Australian plain packaging tobacco (2010-2012),High
#MeToo / workplace harassment norm shift (2017+),Low
Leaded petrol global phase-out (2002-2021),Low
Rana Plaza / Bangladesh Accord origin (2013-2018),Low
Black Lives Matter — policing reform (2020-present),High
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",Low
Every Australian Counts NDIS campaign (2011–2013),Low
Australian mandatory detention campaign (1992–present),High
#EndSARS Nigeria police brutality,High
Brazil MST — narrative reframe around organic food (2010s–present),High
Greenpeace Detox My Fashion campaign (2011–2021),Low